imageUrl,ProviderLogo,brand,model,phoneDescription,phoneDescription2,packageDetail,packageName,price,Url
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f0/e7/1f/5f/5f1fe7f07bed86c134d445c2/Galaxy_A11--full.png,/img/logos/telkom.png,Samsung,"Galaxy,A11",Black/ Red/ Blue/ White,32GB, 500Min 1.5GB  100SMS ,FreeMe 1.5GB TopUp,R255.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297104&Name=Samsung Galaxy A11-FreeMe 1.5GB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02,Core",Black/ Blue/ Red/ Gold,32GB, Min   SMS ,FreeMe 3GB TopUp @ R265,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297307&Name=Samsung Galaxy A02 Core-FreeMe 3GB TopUp @ R265
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f0/74/54/60/605474f07261d41cdd633e67/HUAWEI-P-SMART-2021_full.png,/img/logos/telkom.png,HUAWEI,"P,SMART,2021",Crush Green/ Blush Gold/ Midnight Black,128GB, 150Min 800MB  50SMS ,FreeMe 800MB TopUp,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297289&Name=HUAWEI P SMART 2021-FreeMe 800MB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/74/e1/aa/5e/5eaae1747b8dcfad513530d1/hisense-E30-infinity-full.png,/img/logos/telkom.png,Hisense,"Infinity,E30,Lite",Black / Nebula Blue,32GB, Min   SMS ,FreeMe 3GB TopUp @ R265,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297279&Name=Hisense Infinity E30 Lite-FreeMe 3GB TopUp @ R265
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02,Core",Black/ Blue/ Red/ Gold,32GB, Min   SMS ,FreeMe 3GB TopUp @ R265,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297255&Name=Samsung Galaxy A02 Core-FreeMe 3GB TopUp @ R265
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f0/74/54/60/605474f07261d41cdd633e67/HUAWEI-P-SMART-2021_full.png,/img/logos/telkom.png,HUAWEI,"P,SMART,2021",Crush Green/ Blush Gold/ Midnight Black,128GB, 150Min 800MB  50SMS ,FreeMe 800MB TopUp,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297237&Name=HUAWEI P SMART 2021-FreeMe 800MB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/74/e1/aa/5e/5eaae1747b8dcfad513530d1/hisense-E30-infinity-full.png,/img/logos/telkom.png,Hisense,"Infinity,E30,Lite",Black / Nebula Blue,32GB, Min   SMS ,FreeMe 3GB TopUp @ R265,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297227&Name=Hisense Infinity E30 Lite-FreeMe 3GB TopUp @ R265
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f0/74/54/60/605474f07261d41cdd633e67/HUAWEI-P-SMART-2021_full.png,/img/logos/telkom.png,HUAWEI,"P,SMART,2021",Crush Green/ Blush Gold/ Midnight Black,128GB, 150Min 800MB  50SMS ,FreeMe 800MB TopUp,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297079&Name=HUAWEI P SMART 2021-FreeMe 800MB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/74/e1/aa/5e/5eaae1747b8dcfad513530d1/hisense-E30-infinity-full.png,/img/logos/telkom.png,Hisense,"Infinity,E30,Lite",Black / Nebula Blue,32GB, Min   SMS ,FreeMe 3GB TopUp @ R265,R265.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297069&Name=Hisense Infinity E30 Lite-FreeMe 3GB TopUp @ R265
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/other/e4/30/89/5f/5f8930e4afa8c018e08ae9c9/Samsung-Galaxy-A21S-32GB_full,/img/logos/telkom.png,Samsung,"Galaxy,A21S",Blue/ Black/ White/ Red,32GB, 500Min 1.5GB  100SMS ,FreeMe 1.5GB TopUp,R275.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297318&Name=Samsung Galaxy A21S-FreeMe 1.5GB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02s",Black/ White/ Red/ Blue,32GB, Min   SMS ,FreeMe 3GB TopUp @ 275,R275.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297311&Name=Samsung Galaxy A02s-FreeMe 3GB TopUp @ 275
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/44/2f/89/5f/5f892f44bec0966ac8ac1704/huawei_y7p-full.png,/img/logos/telkom.png,HUAWEI,Y7P,Aurora Blue/ Midnight Black,64GB, 500Min 1.5GB  100SMS ,FreeMe 1.5GB TopUp,R275.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297294&Name=HUAWEI Y7P-FreeMe 1.5GB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/other/e4/30/89/5f/5f8930e4afa8c018e08ae9c9/Samsung-Galaxy-A21S-32GB_full,/img/logos/telkom.png,Samsung,"Galaxy,A21S",Blue/ Black/ White/ Red,32GB, 500Min 1.5GB  100SMS ,FreeMe 1.5GB TopUp,R275.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297266&Name=Samsung Galaxy A21S-FreeMe 1.5GB TopUp
